sample,time,solved,E2.Tsi,E2.Tti,K1.P1,M1.PV,M2.PV,M3.PV,R1.T2,R1.Xmax,R1.tau,S4.W,SNK1.P,SNK1.T,SNK1.z[C2H4O],SNK1.z[C2H4],SNK1.z[CO2],SRCE1.P,SRCE1.T,SRCE1.W,SRCR1.M[C2H4],SRCR1.M[O2],SRCR1.P,SRCR1.T,XC1.SP,XC2.SP,XV1.Pos,XV2.Pos,XV3.Pos
0,,False,20.002394485167372,405.4476061952595,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,217.1514433294687,0.29944429796905,1.1290591808492985,99.4177777777775,1.6078166151936488,217.15144332946863,0.016507649216921123,0.2550169606342183,0.0614428348959712,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,99.4177777777775,0.0,1.0,0.5
1,,False,20.002394485167372,405.4476061952595,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,217.1514433294687,0.29944429796905,1.1290591808492985,99.4177777777775,1.6078166151936488,217.15144332946863,0.016507649216921123,0.2550169606342183,0.0614428348959712,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,99.4177777777775,0.0,1.0,0.5
2,,False,20.002394485167372,405.4476061952595,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,217.1514433294687,0.29944429796905,1.1290591808492985,99.4177777777775,1.6078166151936488,217.15144332946863,0.016507649216921123,0.2550169606342183,0.0614428348959712,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,99.4177777777775,0.0,1.0,0.5
3,,False,20.002394485167372,405.4476061952595,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,217.1514433294687,0.29944429796905,1.1290591808492985,99.4177777777775,1.6078166151936488,217.15144332946863,0.016507649216921123,0.2550169606342183,0.0614428348959712,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,99.4177777777775,0.0,1.0,0.5
4,,False,20.002394485167372,405.4476061952595,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,217.1514433294687,0.29944429796905,1.1290591808492985,99.4177777777775,1.6078166151936488,217.15144332946863,0.016507649216921123,0.2550169606342183,0.0614428348959712,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,99.4177777777775,0.0,1.0,0.5
5,,False,20.002394485167372,405.4476061952595,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,217.1514433294687,0.29944429796905,1.1290591808492985,99.4177777777775,1.6078166151936488,217.15144332946863,0.016507649216921123,0.2550169606342183,0.0614428348959712,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,99.4177777777775,0.0,1.0,0.5
6,,False,20.002394485167372,405.4476061952595,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,217.1514433294687,0.29944429796905,1.1290591808492985,99.4177777777775,1.6078166151936488,217.15144332946863,0.016507649216921123,0.2550169606342183,0.0614428348959712,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,99.4177777777775,0.0,1.0,0.5
7,,False,20.002394485167372,405.4476061952595,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,217.1514433294687,0.29944429796905,1.1290591808492985,99.4177777777775,1.6078166151936488,217.15144332946863,0.016507649216921123,0.2550169606342183,0.0614428348959712,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,99.4177777777775,0.0,1.0,0.5
8,,False,20.002394485167372,405.4476061952595,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,217.1514433294687,0.29944429796905,1.1290591808492985,99.4177777777775,1.6078166151936488,217.15144332946863,0.016507649216921123,0.2550169606342183,0.0614428348959712,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,99.4177777777775,0.0,1.0,0.5
9,,False,20.002394485167372,405.4476061952595,0.49999999999999994,150.0,99.4177777777775,22.099999999999977,217.1514433294687,0.29944429796905,1.1290591808492985,99.4177777777775,1.6078166151936488,217.15144332946863,0.016507649216921123,0.2550169606342183,0.0614428348959712,1.5,20.0,100.0,4464.0,1195.4,1.0,25.0,150.0,99.4177777777775,0.0,1.0,0.5
